                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.82264,                0.86086,                 1.1454,                0.80761,                0.71555,                0.77938,                0.60758,                0.84894,                0.95882,                 1.2521,               0.070024,              0.0033306,              0.0033306
                      1,                0.82035,                0.84358,                 1.1371,                0.79087,                0.72589,                0.77398,                0.60101,                 0.8559,                 0.9826,                 1.2513,               0.039804,              0.0064441,              0.0064441
                      2,                0.85413,                0.90266,                 1.1549,                0.77292,                0.66992,                0.73144,                 0.5499,                0.92214,                 1.1439,                 1.3106,              0.0093645,              0.0093375,              0.0093375
                      3,                 0.8968,                 1.0054,                 1.1834,                 0.7626,                0.66649,                0.72415,                 0.5475,                0.92043,                 1.1409,                 1.3065,                0.00901,                0.00901,                0.00901
                      4,                0.90032,                 1.0173,                 1.1845,                0.75069,                0.67132,                 0.7232,                0.55142,                0.90809,                  1.099,                 1.2946,                0.00901,                0.00901,                0.00901
                      5,                 0.9018,                 1.0188,                 1.1894,                 0.7241,                0.69112,                0.72579,                0.54831,                0.92622,                 1.1081,                  1.314,                0.00868,                0.00868,                0.00868
                      6,                0.89799,                 1.0046,                 1.1857,                0.74542,                0.67955,                0.72937,                0.55222,                0.91555,                 1.1046,                 1.2965,                0.00835,                0.00835,                0.00835
                      7,                0.89158,                0.99097,                 1.1859,                0.75847,                0.68495,                0.73936,                0.56373,                0.90172,                 1.0601,                 1.2958,                0.00802,                0.00802,                0.00802
                      8,                0.89005,                0.98034,                 1.1809,                0.76595,                0.71977,                0.75572,                0.57469,                0.90117,                 1.0403,                 1.2893,                0.00769,                0.00769,                0.00769
                      9,                0.89388,                0.98957,                 1.1825,                0.77272,                0.70952,                0.75553,                0.57853,                0.88611,                 1.0441,                 1.2707,                0.00736,                0.00736,                0.00736
                     10,                0.89134,                0.98031,                 1.1819,                0.79339,                0.70385,                 0.7656,                0.58449,                 0.8874,                 1.0165,                 1.2719,                0.00703,                0.00703,                0.00703
                     11,                0.88223,                0.96187,                 1.1774,                0.79117,                0.71461,                0.76835,                0.59043,                0.87843,                 1.0049,                 1.2727,                 0.0067,                 0.0067,                 0.0067
                     12,                0.87672,                0.95274,                 1.1741,                 0.7827,                0.72121,                0.76917,                0.58932,                 0.8787,                0.99281,                 1.2663,                0.00637,                0.00637,                0.00637
                     13,                0.86879,                0.93071,                 1.1655,                0.78378,                0.72532,                0.77566,                0.59346,                0.87316,                0.98961,                 1.2628,                0.00604,                0.00604,                0.00604
                     14,                0.86219,                0.91463,                 1.1641,                0.79511,                0.72354,                0.77844,                0.59899,                0.87339,                0.98668,                 1.2642,                0.00571,                0.00571,                0.00571
                     15,                0.85765,                0.90593,                  1.158,                0.79568,                0.72677,                0.77909,                0.60059,                0.86406,                0.97343,                 1.2598,                0.00538,                0.00538,                0.00538
                     16,                0.84511,                 0.8847,                 1.1531,                0.79795,                0.72724,                0.78179,                0.60576,                0.86286,                0.95731,                 1.2546,                0.00505,                0.00505,                0.00505
                     17,                0.83877,                0.86713,                 1.1478,                0.78973,                 0.7394,                0.78541,                0.61013,                0.85385,                0.93727,                 1.2502,                0.00472,                0.00472,                0.00472
                     18,                0.82931,                0.85749,                 1.1425,                0.79671,                0.73066,                0.78411,                0.60852,                0.84414,                0.94486,                 1.2407,                0.00439,                0.00439,                0.00439
                     19,                0.82773,                0.83986,                 1.1398,                0.81396,                0.72843,                0.78922,                0.61244,                0.84728,                0.94011,                 1.2431,                0.00406,                0.00406,                0.00406
                     20,                0.79622,                0.72269,                 1.1339,                0.81728,                0.72787,                0.78906,                0.61449,                0.84159,                0.92568,                 1.2427,                0.00373,                0.00373,                0.00373
                     21,                0.78331,                0.68878,                 1.1223,                0.82848,                0.72421,                0.79279,                0.61894,                0.83553,                 0.9065,                 1.2315,                 0.0034,                 0.0034,                 0.0034
                     22,                0.76702,                0.66839,                 1.1138,                0.80485,                0.74483,                0.79642,                0.62256,                0.83418,                0.90292,                 1.2355,                0.00307,                0.00307,                0.00307
                     23,                0.75851,                0.64431,                  1.107,                0.80888,                0.74446,                0.79722,                0.62537,                0.82487,                0.89951,                 1.2262,                0.00274,                0.00274,                0.00274
                     24,                0.74714,                0.62281,                 1.0985,                0.81173,                0.73822,                0.79581,                0.62391,                0.82374,                0.89782,                 1.2278,                0.00241,                0.00241,                0.00241
                     25,                0.73648,                0.60072,                 1.0909,                0.81644,                0.74364,                0.79601,                0.62657,                0.82242,                0.90586,                 1.2251,                0.00208,                0.00208,                0.00208
                     26,                0.72376,                0.58166,                  1.081,                0.82511,                0.74122,                0.79773,                0.62724,                0.81985,                0.90144,                 1.2247,                0.00175,                0.00175,                0.00175
                     27,                0.71117,                 0.5624,                 1.0731,                0.81652,                 0.7531,                0.80124,                0.62957,                 0.8224,                0.89657,                 1.2258,                0.00142,                0.00142,                0.00142
                     28,                0.70307,                0.55328,                  1.069,                0.82007,                0.74971,                0.80007,                0.63123,                0.81841,                 0.8949,                 1.2262,                0.00109,                0.00109,                0.00109
                     29,                0.69315,                0.53717,                 1.0638,                0.81707,                0.75346,                0.80092,                0.63151,                0.81965,                0.89604,                 1.2299,                0.00076,                0.00076,                0.00076
