                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92636,                0.96732,                 1.2067,                0.90675,                0.87361,                0.93382,                0.61062,                 1.2324,                0.66446,                 1.4253,               0.070025,              0.0033305,              0.0033305
                      1,                 0.9506,                0.99276,                 1.2164,                0.87481,                0.83608,                0.91342,                0.60123,                 1.2218,                0.70936,                 1.4216,               0.039695,               0.006334,               0.006334
                      2,                0.98536,                 1.0723,                 1.2386,                0.83757,                0.78542,                0.86943,                0.53916,                 1.3331,                0.87428,                 1.5144,              0.0090354,              0.0090075,              0.0090075
                      3,                 1.0135,                 1.1492,                  1.259,                0.85915,                0.79512,                0.87284,                0.53162,                 1.3584,                0.86694,                 1.5376,               0.008515,               0.008515,               0.008515
                      4,                 1.0127,                  1.153,                 1.2593,                0.84587,                0.80522,                0.87559,                0.56112,                 1.2775,                0.84242,                  1.494,               0.008515,               0.008515,               0.008515
                      5,                 1.0019,                 1.1259,                 1.2537,                0.86119,                0.80817,                0.89078,                0.54391,                 1.3508,                0.83132,                 1.5291,                0.00802,                0.00802,                0.00802
                      6,                 0.9987,                 1.1041,                 1.2498,                0.86011,                 0.7876,                 0.8767,                0.53791,                 1.3613,                0.83926,                 1.5528,               0.007525,               0.007525,               0.007525
                      7,                0.98856,                  1.078,                 1.2422,                0.86636,                 0.8273,                0.90228,                0.57722,                 1.2805,                0.77992,                 1.4603,                0.00703,                0.00703,                0.00703
                      8,                0.97635,                  1.057,                 1.2359,                0.88184,                0.82923,                 0.9042,                0.57924,                 1.2887,                 0.7439,                 1.4792,               0.006535,               0.006535,               0.006535
                      9,                 0.9661,                 1.0346,                 1.2295,                0.89338,                 0.8204,                0.90989,                0.57875,                  1.281,                0.74142,                 1.4704,                0.00604,                0.00604,                0.00604
                     10,                 1.0026,                0.93784,                 1.2643,                0.88165,                0.84672,                0.91612,                 0.5969,                 1.2424,                0.72712,                  1.432,               0.005545,               0.005545,               0.005545
                     11,                 0.9893,                0.90329,                 1.2541,                0.90711,                0.83405,                0.92197,                0.59058,                 1.2671,                0.71332,                 1.4488,                0.00505,                0.00505,                0.00505
                     12,                0.97776,                0.86829,                 1.2433,                0.89431,                0.84806,                0.91785,                0.59902,                 1.2354,                0.69032,                 1.4205,               0.004555,               0.004555,               0.004555
                     13,                0.96509,                 0.8459,                 1.2368,                0.90214,                0.86529,                0.93352,                0.61342,                 1.2179,                0.66451,                 1.4102,                0.00406,                0.00406,                0.00406
                     14,                0.95342,                0.82328,                 1.2262,                 0.8978,                  0.881,                0.93901,                0.63168,                 1.1789,                0.63203,                 1.3808,               0.003565,               0.003565,               0.003565
                     15,                0.94223,                0.79379,                 1.2163,                0.92318,                0.87141,                0.94271,                0.62691,                 1.2072,                0.63004,                 1.3829,                0.00307,                0.00307,                0.00307
                     16,                0.92878,                 0.7691,                 1.2073,                0.92178,                0.88107,                0.94436,                  0.633,                 1.1819,                0.61504,                 1.3615,               0.002575,               0.002575,               0.002575
                     17,                0.91869,                0.74499,                 1.1993,                0.92751,                0.88342,                0.94858,                0.64203,                 1.1634,                0.60126,                 1.3476,                0.00208,                0.00208,                0.00208
                     18,                0.90429,                0.72553,                 1.1896,                 0.9316,                0.89514,                0.95391,                0.64886,                 1.1432,                0.59165,                 1.3375,               0.001585,               0.001585,               0.001585
                     19,                0.89029,                0.70248,                 1.1833,                0.92206,                0.89971,                0.95365,                0.65094,                 1.1404,                0.57725,                 1.3303,                0.00109,                0.00109,                0.00109
