                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1475,                 4.3441,                 1.4398,                0.30781,                0.19803,                0.15265,                0.10901,                 1.1257,                  3.186,                 1.5396,               0.070024,              0.0033306,              0.0033306
                      1,                 1.2164,                 3.2729,                 1.4999,                0.38239,                0.30864,                0.28576,                0.20667,                  1.133,                 2.5838,                 1.5396,               0.039365,              0.0060042,              0.0060042
                      2,                 1.2595,                 2.9375,                 1.5313,                0.41266,                0.32346,                0.28453,                0.19778,                 1.2521,                 2.9041,                 1.6635,              0.0080448,              0.0080178,              0.0080178
                      3,                 1.2719,                 2.6896,                 1.5337,                0.41716,                0.39368,                0.36586,                0.25732,                  1.157,                 2.3042,                 1.5313,                0.00703,                0.00703,                0.00703
                      4,                  1.214,                 2.3931,                 1.4866,                0.52787,                0.42288,                0.43314,                0.31516,                 1.0721,                 2.0116,                 1.4756,                0.00703,                0.00703,                0.00703
                      5,                 1.1615,                 2.1023,                 1.4386,                0.56418,                0.48451,                0.50497,                0.36858,                 1.0346,                 1.7903,                  1.432,                0.00604,                0.00604,                0.00604
                      6,                 1.1093,                 1.8768,                 1.3965,                0.62427,                0.49932,                 0.5379,                0.39853,                0.98817,                 1.6667,                 1.3935,                0.00505,                0.00505,                0.00505
                      7,                 1.0641,                 1.6994,                  1.361,                0.62738,                0.55003,                0.58024,                0.43558,                0.96179,                 1.5357,                 1.3552,                0.00406,                0.00406,                0.00406
                      8,                 1.0221,                 1.5504,                 1.3294,                0.64765,                 0.5927,                0.61311,                0.46478,                0.92763,                 1.4167,                 1.3147,                0.00307,                0.00307,                0.00307
                      9,                 0.9834,                 1.4107,                 1.2934,                0.68549,                0.61059,                0.65569,                0.50057,                0.90278,                 1.3309,                 1.2944,                0.00208,                0.00208,                0.00208
